commentedBy,commentMessage,upvotes,commentDate
robertradmilovic," re.search(r'Back\\stail', 'Back\stail').group() ",2,16/02/2018 01:10 AM
Lisa Heye, ,2,05/03/2018 03:15 PM
Nishant Kumar, ? - Checks for exactly zero or one character to its left.,1,21/03/2018 05:30 PM
Sunny Jain,I tried this :,1,05/04/2018 08:28 AM
Yousef x,"Very clear and easy to follow tutorial, thank you indeed.",2,16/04/2018 09:36 PM
Giriraj Harsola,"Hey Sejal,",1,28/04/2018 10:23 PM
vijayabhaskar96,"Please change the colors of the code and it's background, it really makes hard to read the code in that color of font.",1,14/06/2018 06:55 PM
Anubhav Jaiswal,"After executing  print(re.search(r'Eat\tcake', 'Eat    cake').group()) in my pycharm,  the  output is  ""AttributeError: 'NoneType' object has no attribute 'group'"" which is an error ",1,24/06/2018 05:06 PM
Anubhav Jaiswal,I am not able to understand what is the use '\b' .,2,24/06/2018 05:25 PM
Mokshith Sandeep,ThanQ Saijal.,1,17/08/2018 04:04 PM
Piyush Dak, ,2,21/08/2018 02:44 AM
Sethumadhavan C B,{x} is supposed to match only when repetition is exactly x number of times,1,19/09/2018 05:29 PM
Barry Martin,finditer is a pretty important method to feature here. Its more useful than findall.,1,24/09/2018 05:46 PM
enochnight,It supposed to a good introductory material if the typos could be minised. Some typos lead to totally opposite meaning which should confuse some of the readers with no prior knowledge,1,04/10/2018 04:39 PM
myla devadas,nice explanation,1,30/10/2018 11:41 AM
myla devadas,"for this  re.search(r'Eat\tcake', 'Eat    cake').group()",2,30/10/2018 12:22 PM
Pradip Prajapati,how  \r character works??,1,01/11/2018 10:08 PM
Dhruv Bukinkere,"how to match a pattern in a string, if both the pattern(regex syntax) as well as the test string are elements of a list? if my list is s and if I do re.match(s[i],s[j]) where i and j are iterables for two for loops, it's giving a syntax error..",2,11/11/2018 02:20 AM
Sushil Aggarwal,"thanks for sharing but may be coincidently, this article is much like Google docs article(https://developers.google.com/edu/python/regular-expressions)",0,16/12/2018 06:31 PM
Rahul Gupta,"Fantastic article...Its almost. It would be good to cover lookahead, negation and split  ",1,25/12/2018 06:18 AM
Pulkit Jha,Thank you for the tutorial. I have been coming to this tutorial all the time. It has become a point of reference for me.,1,18/05/2019 01:07 PM
